event_id,GAGE_ID
8946,12101500
8946,12089500
8946,12096500
8946,12080010
8946,12091500
8946,12090500
8946,12081000
8946,12091100
8946,12091290
8946,12090400
8946,12091300
8946,12091200
8946,12102190
8961,14243000
8961,14242500
8992,14211720
8992,14207500
8993,14211720
8993,14207500
8993,14206950
8993,14206900
9005,12150800
9005,12125200
9005,12155300
9005,12126000
9005,12127100
9005,12158040
9005,12128000
9005,12158010
9005,12157250
9005,12120500
9005,12070000
9009,12457000
9009,12134500
9009,12133000
9014,12462500
9014,12459000
9015,12510500
9015,12508990
9015,12505000
9015,12500450
9015,12484500
9015,14233400
9015,12494000
9015,14111400
9015,14231000
9015,14110000
9015,14232500
9015,14226500
9015,12492500
9015,12097000
9015,12491500
9015,12502500
9015,14107000
9015,12082500
9015,12488500
9015,12488000
9015,12097500
9015,12500500
9015,12501000
9015,14225500
9016,12150800
9016,12149000
9016,12119000
9016,12125200
9016,12121600
9016,12126000
9016,12127100
9016,12147000
9016,12120000
9016,12124000
9016,12128000
9016,12120500
9018,12150800
9018,12149000
9018,12119000
9018,12125200
9018,12121600
9018,12126000
9018,12127100
9018,12147000
9018,12120000
9018,12124000
9018,12128000
9018,12120500
9021,14211720
9021,14207500
9021,14301000
9021,14223500
9021,14299800
9021,14205400
9033,12510500
9033,12508990
9033,12505000
9033,12500450
9033,12494000
9033,12492500
9033,12491500
9033,12502500
9033,12500500
9045,11303000
9045,11299200
9045,11336000
9045,11325500
9045,11295400
9045,11323500
9045,11319500
9045,11335000
9045,11308900
9045,11316700
9045,11316670
9045,11316600
9045,11329500
9045,11295300
9045,11306000
9045,11308000
9045,11318500
9045,11317000
9045,11334300
9045,11327000
9045,11312000
9045,11316800
9045,11309000
9045,11295340
9045,11316605
9045,11298700
9045,11298650
9046,3183500
9047,11303000
9047,11299200
9047,11336000
9047,11325500
9047,11295400
9047,11323500
9047,11319500
9047,11335000
9047,11308900
9047,11316700
9047,11316670
9047,11316600
9047,11329500
9047,11295300
9047,11306000
9047,11308000
9047,11318500
9047,11317000
9047,11334300
9047,11327000
9047,11312000
9047,11316800
9047,11309000
9047,11295340
9047,11316605
9047,11298700
9047,11298650
9049,12144500
9049,12141300
9049,12116400
9049,12144000
9049,12143600
9049,12143900
9049,12143700
9064,14223500
9104,14233400
9104,14111400
9104,14123500
9104,14110000
9104,14232500
9104,14216000
9104,14121300
9107,9174600
9107,9172500
9108,9174600
9108,9172500
9109,9174600
9109,9172500
9110,9174600
9110,9172500
9111,9172500
9112,9172500
9113,9172500
9114,9172500
9115,9172500
9116,9172500
9117,9172500
9123,7193500
9123,7198000
9123,7196500
9143,2411000
9157,11108500
9174,11106550
9176,11114000
9176,11106550
9176,11105500
9176,11105850
9176,11113500
9177,3215000
9177,3214000
9177,3211500
9177,3210000
9306,12358500
9416,11183600
9446,9361500
9446,9361000
9488,8394024
9488,8379500
9488,8317950
9493,9498500
9493,9497500
9540,6279500
9540,6274300
9540,6307990
9540,6307616
9540,6285100
9540,6307500
9540,6306300
9540,6294000
9540,6277500
9540,6299980
9540,6290500
9540,6305700
9540,6298000
9540,6289000
9540,6278500
9540,6302000
9540,6290000
9540,6291500
9540,6297000
9540,6299500
9540,6298500
9540,6289820
9540,6289600
9540,6301480
9541,4290500
9541,4286000
9541,4287000
9589,5325000
9590,5330000
9590,5325000
9590,5320500
9610,12449950
9610,12452500
9610,12452990
9610,12452800
9610,12452890
9641,11325500
9641,11319500
9641,11308000
9642,10277500
9642,11226500
9642,10265150
9653,11290000
9653,11288000
9653,11303000
9653,11302000
9653,11299200
9653,11295400
9653,11308900
9653,11295300
9653,11295270
9653,11294500
9653,11283500
9653,11306000
9653,11298000
9653,11295230
9653,11284700
9653,11299600
9653,11295340
9653,11298700
9653,11298650
9662,3155000
9662,3201000
9806,6274300
9967,1154500
10032,5413500
10034,1473800
10121,11150500
10121,11149900
10125,11152300
10125,11150500
10125,11152000
10125,11149900
10125,11148900
10125,11151870
10130,11150500
10130,11149900
10130,11148900
10142,11160000
10144,11169025
10144,11169000
10144,11160500
10144,11160000
10144,11161300
10146,11160300
10148,11161300
10149,11160500
10149,11161300
10151,11161300
10153,11161000
10155,11161000
10158,11169025
10158,11169000
10158,11160500
10158,11162500
10158,11169500
10158,11160020
10159,11160500
10159,11162500
10162,11169025
10162,11169000
10162,11160500
10162,11169500
10164,11160500
10171,11162570
10171,11164500
10173,11162570
10176,11179000
10177,11180900
10185,11182100
10195,11460000
10209,11463980
10209,11463900
10214,11337500
10218,11454000
10219,11454000
10220,11476500
10221,11476500
10231,11374000
10235,11370500
10239,11418000
10239,11413520
10239,11409000
10239,11409500
10241,11425000
10241,11421000
10241,11427000
10241,11417500
10241,11417000
10241,11414250
10241,11422500
10241,11418500
10241,11414000
10241,11421790
10241,11421770
10244,11425000
10244,11421000
10244,11427000
10244,11414250
10244,11414000
10244,11414100
10245,11427000
10247,10350000
10247,10347460
10247,10346000
10247,10337500
10247,10349980
10247,10349849
10247,10349300
10247,10336698
10247,10348850
10247,10336700
10247,103366993
10288,3531500
10302,6274300
10312,9081000
10319,10163000
10323,9405500
10325,9403000
10331,9512165
10346,7288955
10350,14372300
10351,14354200
10358,11509500
10358,11507500
10358,14361500
10358,14339000
10358,14337600
10358,14330000
10358,14328000
10366,11425000
10369,11403000
10372,11407000
10375,11442500
10375,11439500
10377,11442500
10389,11283500
10391,11269700
10391,11266500
10391,11268000
10391,11281000
10395,11192950
10395,11187000
10395,11186000
10397,11194000
10397,11193020
10397,11192950
10397,11192500
10397,11191000
10397,11197800
10397,11196400
10405,11114000
10405,11136800
10405,11109525
10405,11113000
10405,11123000
10405,11118500
10405,11116550
10405,11115500
10405,11117500
10405,11114500
10405,11111500
10405,11114495
10405,11118000
10405,11113500
10405,11116000
10405,11119500
10405,11117600
10405,11117800
10414,11104000
10422,11103500
10425,11108500
10426,11108500
10427,11107745
10432,11063000
10433,10260950
10437,11085000
10438,11087020
10438,11085000
10438,11101250
10438,11084500
10439,11085000
10441,11075720
10441,11089500
10442,11051500
10443,11054000
10444,11051500
10445,11070210
10446,11070210
10456,11026000
10507,12311000
10511,12395000
10511,12394000
10511,12311000
10511,12392300
10524,12449950
10524,12449500
10525,12512500
10530,14301500
10536,14303600
10541,13152500
10541,13127000
10541,13139500
10541,13120500
10541,13120000
10544,14307580
10546,14307580
10548,14307580
10554,14243000
10558,14223500
10598,12127100
10598,12128000
10623,12119000
10634,12086500
10634,12083000
10645,12213100
10682,3164000
